OrderID,OrderDate,WarehouseID,ShipmentDate,DeliveryDate,DelayDays
O000001,2023-04-13,W04,2023-04-14,2023-04-20,3
O000002,2023-12-15,W04,2023-12-17,2023-12-23,3
O000003,2023-09-28,W05,2023-10-02,2023-10-04,0
O000004,2023-04-17,W05,2023-04-19,2023-04-20,0
O000005,2023-03-13,W05,2023-03-17,2023-03-19,0
O000006,2023-07-08,W05,2023-07-11,2023-07-13,0
O000007,2023-01-21,W01,2023-01-24,2023-01-25,0
O000008,2023-04-13,W01,2023-04-22,2023-04-28,3
O000009,2023-05-02,W04,2023-05-10,2023-05-14,1
O000010,2023-08-03,W02,2023-08-12,2023-08-15,0
O000011,2023-11-27,W05,2023-11-28,2023-12-01,0
O000012,2023-03-29,W02,2023-04-03,2023-04-06,0
O000013,2023-04-10,W01,2023-04-14,2023-04-15,0
O000014,2023-12-26,W05,2024-01-04,2024-01-06,0
O000015,2023-06-01,W01,2023-06-04,2023-06-06,0
O000016,2023-05-11,W01,2023-05-16,2023-05-21,2
O000017,2023-05-30,W03,2023-06-07,2023-06-09,0
O000018,2023-11-05,W01,2023-11-10,2023-11-16,3
O000019,2023-09-15,W04,2023-09-24,2023-09-28,1
O000020,2023-12-10,W01,2023-12-12,2023-12-15,0
O000021,2023-10-21,W05,2023-10-27,2023-11-02,3
O000022,2023-07-11,W04,2023-07-16,2023-07-22,3
O000023,2023-10-04,W01,2023-10-13,2023-10-17,1
O000024,2023-06-10,W04,2023-06-17,2023-06-20,0
O000025,2023-11-10,W01,2023-11-18,2023-11-19,0
O000026,2023-01-22,W04,2023-01-29,2023-02-02,1
O000027,2023-09-10,W02,2023-09-15,2023-09-21,3
O000028,2023-08-24,W03,2023-08-29,2023-08-31,0
O000029,2023-12-11,W04,2023-12-15,2023-12-18,0
O000030,2023-02-18,W05,2023-02-20,2023-02-25,2
O000031,2023-02-28,W03,2023-03-09,2023-03-13,1
O000032,2023-06-19,W03,2023-06-22,2023-06-28,3
O000033,2023-07-07,W01,2023-07-10,2023-07-11,0
O000034,2023-09-28,W04,2023-10-01,2023-10-07,3
O000035,2023-07-09,W03,2023-07-17,2023-07-22,2
O000036,2023-06-24,W05,2023-06-30,2023-07-01,0
O000037,2023-02-20,W05,2023-02-21,2023-02-24,0
O000038,2023-12-30,W05,2024-01-02,2024-01-06,1
O000039,2023-02-24,W01,2023-02-28,2023-03-01,0
O000040,2023-09-01,W02,2023-09-03,2023-09-08,2
O000041,2023-11-16,W04,2023-11-22,2023-11-28,3
O000042,2023-05-11,W03,2023-05-12,2023-05-17,2
O000043,2023-11-03,W04,2023-11-04,2023-11-06,0
O000044,2023-05-15,W03,2023-05-23,2023-05-24,0
O000045,2023-01-21,W01,2023-01-25,2023-01-29,1
O000046,2023-11-25,W04,2023-11-26,2023-11-30,1
O000047,2023-06-16,W01,2023-06-23,2023-06-29,3
O000048,2023-10-01,W01,2023-10-10,2023-10-16,3
O000049,2023-03-30,W04,2023-04-06,2023-04-12,3
O000050,2023-11-12,W04,2023-11-13,2023-11-15,0
O000051,2023-01-14,W03,2023-01-15,2023-01-20,2
O000052,2023-08-30,W05,2023-08-31,2023-09-06,3
O000053,2023-09-22,W01,2023-09-30,2023-10-01,0
O000054,2023-12-12,W02,2023-12-19,2023-12-25,3
O000055,2023-02-22,W03,2023-02-25,2023-03-02,2
O000056,2023-12-06,W03,2023-12-09,2023-12-10,0
O000057,2023-04-02,W05,2023-04-05,2023-04-06,0
O000058,2023-09-21,W05,2023-09-23,2023-09-24,0
O000059,2023-02-04,W01,2023-02-08,2023-02-13,2
